Name,Rank,Salary,Year,Draft Year,Draft Round,Draft Pick Position,Position,School
Gary Grant,289,"$1,316,969",2001,1988,1,15,PG,Michigan
Michael Dickerson,290,"$1,310,400",2001,1998,1,14,SG,Arizona
William Avery,291,"$1,286,160",2001,1999,1,14,PG,Duke
Mateen Cleaves,292,"$1,253,400",2001,2000,1,14,PG,Michigan State
Matt Harpring,293,"$1,244,880",2001,1998,1,15,F/G,Georgia Tech
LaPhonso Ellis,298,"$1,200,000",2001,1992,1,5,PF,Notre Dame 
Danny Ferry,298,"$1,200,000",2001,1989,1,2,PF,Duke 
Dennis Scott,298,"$1,200,000",2001,1990,1,4,SG/SF,Georgia Tech
Anthony Johnson,298,"$1,200,000",2001,1997,2,39,PG/SG,College of Charleston
Chris Carr,298,"$1,200,000",2001,1995,2,56,G,Southern Illinois
Joe Kleine,298,"$1,200,000",2001,1985,1,6,C,Arkansas
Chuck Person,298,"$1,200,000",2001,1986,1,4,SF,Auburn
Jason Collier,304,"$1,190,760",2001,2000,1,15,C,Georgia Tech
Bryce Drew,305,"$1,182,600",2001,1998,1,16,PG,Valparaíso
Elliot Perry,307,"$1,144,000",2001,1991,2,37,PG,Memphis State
Tom Hammonds,309,"$1,130,000",2001,1989,1,9,PF/C,Georgia Tech 
Jelani McCoy,311,"$1,110,000",2001,1998,2,33,F/C,UCLA
Cal Bowdler,312,"$1,102,800",2001,1999,1,17,PF,Old Dominion
Sherman Douglas,313,"$1,100,000",2001,1989,2,28,G,Syracuse 
Greg Buckner,313,"$1,100,000",2001,1998,2,53,SG,Clemson
Desmond Mason,315,"$1,074,720",2001,2000,1,17,SF/SG,Oklahoma State
James Posey,317,"$1,047,600",2001,1999,1,18,SG/SF,Xavier
Bill Curley,318,"$1,034,500",2001,1994,1,22,PF,Boston College
Quentin Richardson,319,"$1,020,960",2001,2000,1,18,SF/SG,DePaul
Pat Garrity,320,"$1,019,280",2001,1998,1,19,PF,Notre Dame
Quincy Lewis,321,"$1,000,440",2001,1999,1,19,SF,Minnesota
Felton Spencer,326,"$1,000,000",2001,1990,1,6,C,Louisville
Pervis Ellison,326,"$1,000,000",2001,1989,1,1,PF,Louisville 
Dee Brown,326,"$1,000,000",2001,1990,1,19,SG,Jacksonville
Kevin Edwards,326,"$1,000,000",2001,1988,1,20,SG,DePaul
Jerome Kersey,326,"$1,000,000",2001,1984,2,46,F,Longwood
David Wingate,326,"$1,000,000",2001,1986,2,44,SG,Georgetown
Dee Brown,326,"$1,000,000",2001,2006,2,46,G,Illinois
Monty Williams,326,"$1,000,000",2001,1994,1,24,SF,Notre Dame
Tyrone Corbin,326,"$1,000,000",2001,1985,2,35,SF/PF,DePaul
Ruben Patterson,332,"$990,000",2001,1998,2,31,SF,Cincinnati
Roshown McLeod,333,"$978,600",2001,1998,1,20,SF,Duke
Jamaal Magloire,334,"$975,000",2001,2000,1,19,PF/C,Kentucky
Dion Glover,335,"$960,480",2001,1999,1,20,SG,Georgia Tech
Ricky Davis,336,"$939,360",2001,1998,1,21,G/F,Iowa
Speedy Claxton,337,"$936,000",2001,2000,1,20,PG,Hofstra
Stacey Augmon,338,"$923,500",2001,1991,1,9,SG/SF,UNLV
Jeff Foster,340,"$922,080",2001,1999,1,21,PF,Southwest Texas State
Brian Skinner,341,"$901,800",2001,1998,1,22,F/C,Baylor
Morris Peterson,342,"$898,560",2001,2000,1,21,SF/SG,Michigan State
Kenny Thomas,343,"$885,120",2001,1999,1,22,PF,New Mexico
Fred Hoiberg,344,"$880,000",2001,1995,2,52,SG,Iowa State
Tyronn Lue,345,"$865,800",2001,1998,1,23,PG,Nebraska
Donnell Harvey,346,"$862,560",2001,2000,1,22,SF,Florida
Devean George,347,"$849,720",2001,1999,1,23,SF,Augsburg
DeShawn Stevenson,349,"$828,120",2001,2000,1,23,SG,Washington Union HS
Al Harrington,352,"$797,880",2001,1998,1,25,F,St. Patrick's High School
Tim James,354,"$783,120",2001,1999,1,25,SF,Miami
Sam Jacobson,355,"$768,500",2001,1998,1,26,SG,Minnesota
Vonteego Cummings,357,"$757,200",2001,1999,1,26,PG,Pittsburgh
Corey Benjamin,358,"$749,160",2001,1998,1,28,SG,Oregon State
Vladimir Stepania,358,"$749,160",2001,1998,1,27,C,Olimpija Ljubljana
Nazr Mohammed,360,"$739,080",2001,1998,1,29,C/F,Kentucky
Todd Day,363,"$736,000",2001,1992,1,8,SG,Arkansas 
Isaiah Rider,363,"$736,000",2001,1993,1,5,SG,UNLV
Jumaine Jones,365,"$735,600",2001,1999,1,27,SF,Georgia
Scott Padgett,367,"$730,800",2001,1999,1,28,PF,Kentucky
Erick Barkley,368,"$712,200",2001,2000,1,28,PG,St. John's
Mark Madsen,370,"$707,040",2001,2000,1,29,PF,Stanford
Todd Fuller,374,"$611,000",2001,1996,1,11,C,NC State
Don Reid,374,"$611,000",2001,1995,2,58,F,Georgetown
Shammond Williams,380,"$550,000",2001,1998,2,34,PG,North Carolina
Doug Overton,381,"$548,500",2001,1991,2,40,PG,La Salle
Shawnelle Scott,381,"$548,500",2001,1994,2,43,C,St. John's
Moochie Norris,387,"$523,500",2001,1996,2,33,G,West Florida
Tyus Edney,387,"$523,500",2001,1995,2,47,PG,UCLA
Jeff McInnis,387,"$523,500",2001,1996,2,37,G,North Carolina
Roy Rogers,387,"$523,500",2001,1996,1,22,F,Alabama
Ryan Bowen,391,"$510,000",2001,1998,2,55,SF,Iowa
Ansu Sesay,392,"$508,000",2001,1998,2,30,SF,Mississippi
Laron Profit,392,"$508,000",2001,1999,2,38,SG/SF,Maryland
Mark Pope,396,"$498,500",2001,1996,2,52,F,Kentucky
Andrae Patterson,396,"$498,500",2001,1998,2,46,SF,Indiana
Leon Smith,401,"$483,680",2001,1999,1,29,PF,King College Prep HS
Michael Ruffin,402,"$440,000",2001,1999,2,32,PF,Tulsa
Rafer Alston,409,"$423,500",2001,1998,2,39,PG,Fresno State
Evan Eschmeyer,409,"$423,500",2001,1999,2,34,C,Northwestern
Rodney Buford,409,"$423,500",2001,1999,2,53,SG,Creighton
Lari Ketner,409,"$423,500",2001,1999,2,49,C,UMass
Maceo Baston,409,"$423,500",2001,1998,2,58,PF,Michigan
Derrick Dial,409,"$423,500",2001,1998,2,52,SG,Eastern Michigan
Calvin Booth,409,"$423,500",2001,1999,2,35,C,Penn State
Obinna Ekezie,409,"$423,500",2001,1999,2,37,C,Maryland
Mark Blount,434,"$316,969",2001,1997,2,54,C,Pittsburgh
Chris Herren,434,"$316,969",2001,1999,2,33,G,Fresno State
Soumaila Samake,434,"$316,969",2001,2000,2,36,C,Cincinnati Stuff
Stephen Jackson,434,"$316,969",2001,1997,2,42,SG,Butler CC
Lee Nailon,434,"$316,969",2001,1999,2,43,SF,TCU
Jake Voskuhl,434,"$316,969",2001,2000,2,33,C,Connecticut
Khalid El-Amin,434,"$316,969",2001,2000,2,34,PG,Connecticut
Brian Cardinal,434,"$316,969",2001,2000,2,44,PF,Purdue
Torraye Braggs,434,"$316,969",2001,1998,2,57,PF,Xavier
Marc Jackson,434,"$316,969",2001,1997,2,37,SF/PF,Temple
Chris Porter,434,"$316,969",2001,2000,2,55,F,Auburn
Dan Langhi,434,"$316,969",2001,2000,2,31,PF,Vanderbilt
Eddie House,434,"$316,969",2001,2000,2,37,SG,Arizona State
Jason Hart,434,"$316,969",2001,2000,2,49,PG,Syracuse
Michael Redd,434,"$316,969",2001,2000,2,43,SG,Ohio State
Lavor Postell,434,"$316,969",2001,2000,2,39,SG,St. John's
Pete Mickeal,434,"$316,969",2001,2000,2,58,F,Cincinnati
Olumide Oyedeji,434,"$316,969",2001,2000,2,42,PF,Würzburg
Jabari Smith,434,"$316,969",2001,2000,2,45,C,LSU
Chris Carrawell,434,"$316,969",2001,2000,2,41,SG,Duke
Mike Smith,434,"$316,969",2001,2000,2,35,F,Louisiana-Monroe
Mark Karcher,453,"$50,000",2001,2000,2,48,PG,Temple
Anthony Miller,454,"$40,000",2001,1994,2,39,F,Michigan State
Kevin Garnett,1,"$22,400,000",2002,1995,1,5,PF,Farragut Academy HS
Shaquille O'Neal,2,"$21,428,572",2002,1992,1,1,C,LSU 
Alonzo Mourning,3,"$18,754,800",2002,1992,1,2,C,Georgetown 
Juwan Howard,4,"$18,750,000",2002,1994,1,5,PF,Michigan
Scottie Pippen,5,"$18,083,564",2002,1987,1,5,SF,Central Arkansas
Karl Malone,6,"$17,500,000",2002,1985,1,13,PF,Louisiana Tech
Jayson Williams,7,"$15,125,000",2002,1990,1,21,PF/C,St. John's
Rasheed Wallace,8,"$14,400,000",2002,1995,1,4,PF,North Carolina
Dikembe Mutombo,9,"$14,315,790",2002,1991,1,4,C,Georgetown
Gary Payton,10,"$12,926,493",2002,1990,1,2,PG,Oregon State
Chris Webber,11,"$12,750,000",2002,1993,1,1,PF/C,Michigan
Allan Houston,11,"$12,750,000",2002,1993,1,11,SG,Tennessee
Shawn Kemp,13,"$12,660,000",2002,1989,1,17,PF/C,Trinity Valley CC
Damon Stoudamire,14,"$12,375,000",2002,1995,1,7,PG,Arizona
Reggie Miller,15,"$12,045,075",2002,1987,1,11,SG,UCLA
Antonio McDyess,16,"$11,700,000",2002,1995,1,2,PF,Alabama
Bryant Reeves,17,"$11,555,554",2002,1995,1,6,C,Oklahoma State
Larry Johnson,18,"$11,335,714",2002,1991,1,1,PF,UNLV
Latrell Sprewell,23,"$11,250,000",2002,1992,1,24,SG,Alabama 
Ray Allen,23,"$11,250,000",2002,1996,1,5,G,Connecticut
Antoine Walker,23,"$11,250,000",2002,1996,1,6,F,Kentucky
Stephon Marbury,23,"$11,250,000",2002,1996,1,4,G,Georgia Tech
Kobe Bryant,23,"$11,250,000",2002,1996,1,13,G,Lower Merion HS
Shareef Abdur-Rahim,23,"$11,250,000",2002,1996,1,3,F,California
Vin Baker,23,"$11,250,000",2002,1993,1,8,PF,Hartford
Allen Iverson,23,"$11,250,000",2002,1996,1,1,G,Georgetown
Antonio Davis,29,"$11,000,000",2002,1990,2,45,F/C,UTEP
Mitch Richmond,29,"$11,000,000",2002,1988,1,5,SG,Kansas State
Tim Duncan,33,"$10,865,250",2002,1997,1,1,PF/C,Wake Forest
Jalen Rose,33,"$10,865,250",2002,1994,1,13,G/F,Michigan
Grant Hill,33,"$10,865,250",2002,1994,1,3,SF,Duke
Tracy McGrady,33,"$10,865,250",2002,1997,1,9,SG/SF,Mt. Zion Christian Academy
Michael Finley,36,"$10,625,000",2002,1995,1,21,SF/SG,Wisconsin
Vlade Divac,37,"$10,444,642",2002,1989,1,26,C,KK Partizan 
Tom Gugliotta,39,"$10,114,000",2002,1992,1,6,PF,NC State 
Eddie Jones,40,"$10,091,250",2002,1994,1,10,SG,Temple
Brian Grant,41,"$9,925,076",2002,1994,1,8,PF,Xavier
Tim Thomas,42,"$9,675,000",2002,1997,1,7,SF,Villanova
Theo Ratliff,43,"$9,667,969",2002,1995,1,18,PF/C,Wyoming
David Robinson,44,"$9,500,000",2002,1987,1,1,C,Navy
Terrell Brandon,45,"$9,300,000",2002,1991,1,11,PG,Oregon
Steve Smith,46,"$9,000,000",2002,1991,1,5,SG,Michigan State
Glenn Robinson,47,"$8,990,000",2002,1994,1,1,SF,Purdue
Glen Rice,48,"$8,800,000",2002,1989,1,4,SF,Michigan 
Derrick Coleman,49,"$8,710,000",2002,1990,1,1,PF/C,Syracuse
Jason Kidd,50,"$8,447,500",2002,1994,1,2,PG,California
Kenny Anderson,51,"$8,350,000",2002,1991,1,2,PG,Georgia Tech
Kerry Kittles,52,"$8,166,667",2002,1996,1,8,G,Villanova
Matt Geiger,53,"$8,142,160",2002,1992,2,42,C,Georgia Tech
Elden Campbell,54,"$7,975,000",2002,1990,1,27,PF/C,Clemson
Marcus Camby,57,"$7,300,000",2002,1996,1,2,C,Massachusetts
Dale Davis,59,"$7,010,000",2002,1991,1,13,PF,Clemson
John Stockton,60,"$7,000,000",2002,1984,1,16,G,Gonzaga
Jamal Mashburn,61,"$6,975,000",2002,1993,1,4,SF,Kentucky
Greg Ostertag,62,"$6,933,328",2002,1995,1,28,C,Kansas
Ron Mercer,63,"$6,750,000",2002,1997,1,6,SF,Kentucky
Tyrone Hill,64,"$6,600,000",2002,1990,1,11,PF,Xavier
Charles Oakley,65,"$6,545,000",2002,1985,1,9,PF,Virginia Union
Donyell Marshall,66,"$6,510,000",2002,1994,1,4,SF,Connecticut
Alan Henderson,67,"$6,500,312",2002,1995,1,16,PF,Indiana
Maurice Taylor,68,"$6,500,000",2002,1997,1,14,PF,Michigan
Derek Anderson,69,"$6,495,000",2002,1997,1,13,SG,Kentucky
Luc Longley,71,"$6,325,000",2002,1991,1,7,C,New Mexico
Jermaine O'Neal,71,"$6,325,000",2002,1996,1,17,F/C,Eau Claire HS 
Austin Croshere,73,"$6,310,000",2002,1997,1,12,PF,Providence
Wesley Person,74,"$6,300,000",2002,1994,1,23,SG,Auburn
Erick Dampier,75,"$6,235,000",2002,1996,1,10,C,Mississippi State
Kelvin Cato,76,"$6,048,000",2002,1997,1,15,C,Iowa State
Derrick McKey,78,"$6,000,000",2002,1987,1,9,SF/PF,Alabama
Jim McIlvaine,78,"$6,000,000",2002,1994,2,32,C,Marquette
Jerry Stackhouse,80,"$5,843,750",2002,1995,1,3,SG,North Carolina
Steve Nash,81,"$5,750,000",2002,1996,1,15,G,Santa Clara
Isaac Austin,82,"$5,695,715",2002,1991,2,48,C,Arizona State
Lorenzen Wright,83,"$5,500,000",2002,1996,1,7,C,Memphis
Shandon Anderson,83,"$5,500,000",2002,1996,2,54,F,Georgia
Nick Anderson,85,"$5,401,906",2002,1989,1,11,SF/SG,Illinois 
Mookie Blaylock,86,"$5,400,000",2002,1989,1,12,PG,Oklahoma 
Chris Mills,86,"$5,400,000",2002,1993,1,22,SF,Arizona
Alvin Williams,88,"$5,350,000",2002,1997,2,47,PG,Villanova
Robert Horry,89,"$5,300,000",2002,1992,1,11,SF,Alabama 
Loy Vaught,90,"$5,222,025",2002,1990,1,13,PF,Michigan
Bobby Phills,91,"$5,220,000",2002,1991,2,45,SG,Southern
Bob Sura,92,"$5,213,333",2002,1995,1,17,SG,Florida State
Doug Christie,93,"$5,200,000",2002,1992,1,17,SG,Pepperdine 
Bryon Russell,96,"$5,142,857",2002,1993,2,45,SF,Long Beach State
Charlie Ward,97,"$5,110,000",2002,1994,1,26,PG,Florida State
Tariq Abdul-Wahad,98,"$5,062,500",2002,1997,1,11,SF,San Jose State
Walt Williams,101,"$5,000,000",2002,1992,1,7,SF,Maryland 
Jerome Williams,101,"$5,000,000",2002,1996,1,26,F,Georgetown
Jason Caffey,103,"$4,812,500",2002,1995,1,20,PF,Alabama
Howard Eisley,104,"$4,781,250",2002,1994,2,30,PG,Boston College
Vitaly Potapenko,105,"$4,762,500",2002,1996,1,12,C,Wright State
Rod Strickland,106,"$4,750,000",2002,1988,1,19,PG,DePaul
Brent Barry,108,"$4,680,000",2002,1995,1,15,SG,Oregon State
Michael Olowokandi,109,"$4,662,472",2002,1998,1,1,C,Pacific
Danny Fortson,111,"$4,649,534",2002,1997,1,10,PF,Cincinnati
Clarence Weatherspoon,112,"$4,638,000",2002,1992,1,9,PF,Southern Miss 
Calvin Booth,113,"$4,539,000",2002,1999,2,35,C,Penn State
Joe Smith,116,"$4,538,000",2002,1995,1,1,PF,Maryland
Ruben Patterson,116,"$4,538,000",2002,1998,2,31,SF,Cincinnati
Christian Laettner,120,"$4,500,000",2002,1992,1,3,PF,Duke 
Shawn Bradley,120,"$4,500,000",2002,1993,1,2,C,BYU
Brevin Knight,120,"$4,500,000",2002,1997,1,16,PG,Stanford
Nazr Mohammed,120,"$4,500,000",2002,1998,1,29,C/F,Kentucky
Eric Williams,123,"$4,448,000",2002,1995,1,14,SF,Providence
Jahidi White,125,"$4,413,375",2002,1998,2,43,F/C,Georgetown
Cuttino Mobley,125,"$4,413,375",2002,1998,2,41,SG,Rhode Island
Rashard Lewis,125,"$4,413,375",2002,1998,2,32,PF,Alief Elsik HS
Kurt Thomas,125,"$4,413,375",2002,1995,1,10,PF/C,TCU
Adonal Foyle,128,"$4,400,000",2002,1997,1,8,C,Colgate
Sam Cassell,130,"$4,350,000",2002,1993,1,24,PG,Florida State
Scot Pollard,131,"$4,344,187",2002,1997,1,19,C,Kansas
Voshon Lenard,132,"$4,252,435",2002,1994,2,46,SG,Minnesota
Mike Bibby,133,"$4,174,893",2002,1998,1,2,PG,Arizona
Corliss Williamson,135,"$4,000,000",2002,1995,1,13,PF,Arkansas
Aaron McKie,135,"$4,000,000",2002,1994,1,17,SG,Temple
Elton Brand,137,"$3,882,360",2002,1999,1,1,PF/C,Duke
Derek Strong,138,"$3,861,000",2002,1990,2,47,F,Xavier
Mark Jackson,139,"$3,860,000",2002,1987,1,18,PG,St. John's
Rex Chapman,140,"$3,850,000",2002,1988,1,8,SG,Kentucky
Kenyon Martin,142,"$3,801,960",2002,2000,1,1,PF,Cincinnato (Sr.)
Rick Fox,143,"$3,791,250",2002,1991,1,24,SF,North Carolina
Raef LaFrentz,144,"$3,755,142",2002,1998,1,3,C/F,Kansas
Eric Snow,145,"$3,750,000",2002,1995,2,43,PG,Michigan State
Lamond Murray,145,"$3,750,000",2002,1994,1,7,SF,California
Kwame Brown,147,"$3,697,440",2002,2001,1,1,C,Glynn Academy
Brent Price,148,"$3,680,000",2002,1992,2,32,G,Oklahoma
Ervin Johnson,149,"$3,670,929",2002,1993,1,23,C,New Orleans
Jud Buechler,151,"$3,600,000",2002,1990,2,38,F/G,Arizona
Travis Knight,151,"$3,600,000",2002,1996,1,29,C,Connecticut
Tony Battie,151,"$3,600,000",2002,1997,1,5,C/F,Texas Tech
Moochie Norris,151,"$3,600,000",2002,1996,2,33,G,West Florida
Steve Francis,155,"$3,473,520",2002,1999,1,2,PG,Maryland
Lindsey Hunter,156,"$3,425,760",2002,1993,1,10,PG,Jackson State
Stromile Swift,157,"$3,401,640",2002,2000,1,2,PF/C,LSU
Tracy Murray,158,"$3,400,000",2002,1992,1,18,SF,UCLA 
Antawn Jamison,159,"$3,388,176",2002,1998,1,4,F,North Carolina
Travis Best,160,"$3,375,000",2002,1995,1,23,PG,Georgia Tech
Tyson Chandler,162,"$3,308,160",2002,2001,1,2,C,Dominguez HS
Marc Jackson,165,"$3,250,000",2002,1997,2,37,SF/PF,Temple
Dean Garrett,167,"$3,240,000",2002,1988,2,38,C,Indiana
Jon Barry,169,"$3,175,000",2002,1992,1,21,SG,Georgia Tech 
Walter McCarty,170,"$3,125,000",2002,1996,1,19,F,Kentucky
Baron Davis,171,"$3,119,400",2002,1999,1,3,PG,UCLA
Vince Carter,172,"$3,073,032",2002,1998,1,5,G/F,North Carolina
Darius Miles,173,"$3,054,840",2002,2000,1,3,SF/PF,East St. Louis HS (Illinois)
Evan Eschmeyer,174,"$3,038,000",2002,1999,2,34,C,Northwestern
Lawrence Funderburke,175,"$3,025,000",2002,1994,2,51,PF,Ohio State
LaPhonso Ellis,180,"$3,000,000",2002,1992,1,5,PF,Notre Dame 
Derek Fisher,180,"$3,000,000",2002,1996,1,24,G,Arkansas-Little Rock
Greg Anthony,180,"$3,000,000",2002,1991,1,12,PG,UNLV
Kevin Willis,180,"$3,000,000",2002,1984,1,11,F/C,Michigan State
Antonio Daniels,180,"$3,000,000",2002,1997,1,4,PG,Bowling Green
Cedric Henderson,180,"$3,000,000",2002,1986,2,32,PF,Georgia
Cedric Henderson,180,"$3,000,000",2002,1997,2,44,PF,Memphis
Eric Piatkowski,180,"$3,000,000",2002,1994,1,15,SG,Nebraska
Anthony Peeler,184,"$2,978,500",2002,1992,1,15,SG,Missouri 
Pau Gasol,185,"$2,970,840",2002,2001,1,3,PF/C,FC Barcelona
Andrew DeClercq,186,"$2,900,000",2002,1995,2,34,PF/C,Florida
Lamar Odom,187,"$2,812,320",2002,1999,1,4,PF/SF,Rhode Island
Robert Traylor,188,"$2,793,505",2002,1998,1,6,F/C,Michigan
Marcus Fizer,189,"$2,754,120",2002,2000,1,4,PF/SF,Iowa State
Chris Whitney,190,"$2,700,000",2002,1993,2,47,PG,Clemson
Eddy Curry,191,"$2,678,400",2002,2001,1,4,C,Thornwood HS
Johnny Newman,192,"$2,675,000",2002,1986,2,29,SF,Richmond
John Wallace,193,"$2,630,000",2002,1996,1,18,F,Syracuse
Jason Williams,194,"$2,554,072",2002,1998,1,7,PG,Florida
Jonathan Bender,195,"$2,546,760",2002,1999,1,5,PF,Picayune Memorial HS
Chris Gatling,198,"$2,504,227",2002,1991,1,16,PF,Old Dominion
Chris Crawford,199,"$2,500,000",2002,1997,2,50,SF,Marquette
Mike Miller,200,"$2,494,080",2002,2000,1,5,SF/SG,Florida
Eric Montross,201,"$2,480,000",2002,1994,1,9,C,North Carolina
Othella Harrington,205,"$2,475,000",2002,1996,2,30,F/C,Georgetown
Randy Brown,205,"$2,475,000",2002,1991,2,31,PG,New Mexico State
Chauncey Billups,205,"$2,475,000",2002,1997,1,3,PG,Colorado
Tony Delk,205,"$2,475,000",2002,1996,1,16,G,Kentucky
Bobby Jackson,205,"$2,475,000",2002,1997,1,23,PG,Minnesota
Jason Richardson,209,"$2,425,440",2002,2001,1,5,SG,Michigan State
Horace Grant,210,"$2,419,580",2002,1987,1,10,PF/C,Clemson
Hubert Davis,211,"$2,418,750",2002,1992,1,20,SG,North Carolina 
Steve Kerr,212,"$2,406,250",2002,1988,2,50,PG,Arizona
Sean Rooks,218,"$2,400,000",2002,1992,2,30,PF/C,Arizona
George McCloud,218,"$2,400,000",2002,1989,1,7,SG/SF,Florida State 
Michael Smith,218,"$2,400,000",2002,1989,1,13,PF,BYU 
Stacey Augmon,218,"$2,400,000",2002,1991,1,9,SG/SF,UNLV
Terry Porter,218,"$2,400,000",2002,1985,1,24,PG,Wisconsin–Stevens Point
Rodney Rogers,218,"$2,400,000",2002,1993,1,9,PF,Wake Forest
Jamie Feick,218,"$2,400,000",2002,1996,2,48,F,Michigan State
Lucious Harris,218,"$2,400,000",2002,1993,2,28,PG,Long Beach State
Calbert Cheaney,218,"$2,400,000",2002,1993,1,6,SG/SF,Indiana
Grant Long,218,"$2,400,000",2002,1988,2,33,F,Eastern Michigan
George Lynch,218,"$2,400,000",2002,1993,1,12,SF,North Carolina
Michael Smith,218,"$2,400,000",2002,1994,2,35,F,Providence
Larry Hughes,225,"$2,343,635",2002,1998,1,8,SG,Saint Louis
Wally Szczerbiak,226,"$2,313,240",2002,1999,1,6,SG/SF,Miami (OH)
Malik Rose,227,"$2,285,000",2002,1996,2,44,F,Drexel
DerMarr Johnson,229,"$2,265,240",2002,2000,1,6,SG/SF,Cincinnati
Shane Battier,230,"$2,203,080",2002,2001,1,6,SF,Duke
Bimbo Coles,231,"$2,200,000",2002,1990,2,40,G,Virginia Tech
Dirk Nowitzki,233,"$2,157,595",2002,1998,1,9,PF,DJK Würzburg
Patrick Ewing,234,"$2,118,420",2002,1985,1,1,C,Georgetown
Richard Hamilton,235,"$2,111,640",2002,1999,1,7,SG/SF,Connecticut
Dell Curry,236,"$2,100,000",2002,1986,1,15,SG/SF,Virginia Tech
Chris Mihm,237,"$2,067,960",2002,2000,1,7,C/PF,Texas
Paul Pierce,238,"$2,051,271",2002,1998,1,10,G/F,Kansas
Bonzi Wells,239,"$2,028,239",2002,1998,1,11,G/F,Ball State
Eddie Griffin,240,"$2,011,080",2002,2001,1,7,PF,Seton Hall
Michael Doleac,241,"$2,000,856",2002,1998,1,12,C,Utah
Bryant Stith,242,"$2,000,000",2002,1992,1,13,SG,Virginia 
Cory Alexander,243,"$1,995,741",2002,1995,1,29,PG,Virginia
Keon Clark,244,"$1,971,163",2002,1998,1,13,F/C,UNLV
Michael Dickerson,245,"$1,940,702",2002,1998,1,14,SG,Arizona
Andre Miller,246,"$1,934,520",2002,1999,1,8,PG,Utah
Matt Harpring,247,"$1,908,401",2002,1998,1,15,F/G,Georgia Tech
Jamal Crawford,248,"$1,894,560",2002,2000,1,8,SG,Michigan
DeSagana Diop,250,"$1,842,480",2002,2001,1,8,C,Oak Hill Academy
Tom Hammonds,251,"$1,800,000",2002,1989,1,9,PF/C,Georgia Tech 
Shawn Marion,252,"$1,778,160",2002,1999,1,9,SF/PF,UNLV
Greg Foster,253,"$1,764,247",2002,1990,2,35,F/C,UTEP
Shammond Williams,255,"$1,750,000",2002,1998,2,34,PG,North Carolina
Joel Przybilla,256,"$1,741,440",2002,2000,1,9,C,Minnesota
Tyronn Lue,258,"$1,700,000",2002,1998,1,23,PG,Nebraska
Rodney White,259,"$1,693,560",2002,2001,1,9,SF/PF,Charlotte
Jason Terry,260,"$1,689,360",2002,1999,1,10,SG/PG,Arizona
Keyon Dooling,261,"$1,654,320",2002,2000,1,10,SG,Missouri
Tony Massenburg,262,"$1,650,000",2002,1990,2,43,F,Maryland
Corie Blount,263,"$1,609,235",2002,1993,1,25,PF,Cincinnati
Joe Johnson,264,"$1,608,840",2002,2001,1,10,SG,Arkansas
Trajan Langdon,265,"$1,604,880",2002,1999,1,11,SG,Duke
Dana Barros,266,"$1,600,000",2002,1989,1,16,PG,Boston College 
Fred Hoiberg,266,"$1,600,000",2002,1995,2,52,SG,Iowa State
Pat Garrity,269,"$1,569,691",2002,1998,1,19,PF,Notre Dame
Kendall Gill,270,"$1,538,000",2002,1990,1,5,SG,Illinois
Kedrick Brown,271,"$1,528,440",2002,2001,1,11,SF,Okaloosa-Walton CC
Muggsy Bogues,273,"$1,520,860",2002,1987,1,12,PG,Wake Forest
Roshown McLeod,274,"$1,509,001",2002,1998,1,20,SF,Duke
Popeye Jones,275,"$1,500,000",2002,1992,2,41,F,Murray State
Danny Manning,275,"$1,500,000",2002,1988,1,1,PF,Kansas
Ricky Davis,277,"$1,496,400",2002,1998,1,21,G/F,Iowa
Etan Thomas,278,"$1,493,040",2002,2000,1,12,PF/C,Syracuse
Brian Skinner,279,"$1,483,461",2002,1998,1,22,F/C,Baylor
Corey Maggette,281,"$1,448,400",2002,1999,1,13,SF/SG,Duke
Al Harrington,282,"$1,436,982",2002,1998,1,25,F,St. Patrick's High School
Courtney Alexander,283,"$1,418,400",2002,2000,1,13,SG,Fresno State
Samaki Walker,284,"$1,400,000",2002,1996,1,9,F,Louisville
Richard Jefferson,285,"$1,379,400",2002,2001,1,13,SF,Arizona
William Avery,286,"$1,375,920",2002,1999,1,14,PG,Duke
Mateen Cleaves,287,"$1,347,480",2002,2000,1,14,PG,Michigan State
Will Perdue,288,"$1,320,000",2002,1988,1,11,C,Vanderbilt
Troy Murphy,289,"$1,310,400",2002,2001,1,14,PF,Notre Dame
Bryce Drew,291,"$1,300,000",2002,1998,1,16,PG,Valparaíso
Jason Collier,293,"$1,280,040",2002,2000,1,15,C,Georgia Tech
Steven Hunter,294,"$1,244,880",2002,2001,1,15,C,DePaul
Greg Buckner,297,"$1,200,000",2002,1998,2,53,SG,Clemson
Kirk Haston,298,"$1,182,600",2002,2001,1,16,PF,Indiana
Cal Bowdler,299,"$1,179,720",2002,1999,1,17,PF,Old Dominion
Desmond Mason,300,"$1,155,240",2002,2000,1,17,SF/SG,Oklahoma State
Michael Bradley,301,"$1,123,560",2002,2001,1,17,PF,Villanova
James Posey,302,"$1,120,680",2002,1999,1,18,SG/SF,Xavier
Quentin Richardson,303,"$1,097,520",2002,2000,1,18,SF/SG,DePaul
Quincy Lewis,304,"$1,070,280",2002,1999,1,19,SF,Minnesota
Jason Collins,305,"$1,067,400",2002,2001,1,18,C,Stanford
Jamaal Magloire,306,"$1,048,080",2002,2000,1,19,PF/C,Kentucky
Dion Glover,307,"$1,027,440",2002,1999,1,20,SG,Georgia Tech
Zach Randolph,308,"$1,019,280",2002,2001,1,19,PF,Michigan State
